LLM,4_uniform_hyp,csv_data_json_doc,kg_data_embedded_doc,kg_labeled_hyp,metric_labeled_hyp,time_labeled_hyp,unstructured_data_unstructured_doc,value_labeled_hyp
command-R,0.225,0.3,0.45,0.225,0.425,0.275,0.45,0.2
mistral,0.45,0.525,0.45,0.375,0.425,0.4,0.25,0.5
DeepSeek-R1T2,0.75,0.55,0.65,0.725,0.625,0.675,0.75,0.725
gemini-2.5-pro,0.825,0.525,0.45,0.8,0.825,0.75,0.325,0.825
kimi-k2,0.6666666666666666,0.5789473684210527,0.7894736842105263,0.7894736842105263,0.8333333333333334,0.8421052631578947,0.7368421052631579,0.7777777777777778
llama,0.25,0.4210526315789473,0.5263157894736842,0.3684210526315789,0.3684210526315789,0.4,0.3684210526315789,0.5
gpt-5-mini,0.7,0.525,0.675,0.625,0.675,0.675,0.625,0.6
